ID;period_first_selected;selected_for_201804;size_band;size;newly_selected_month
1;201803;Y;7;Oct-19;Mar
2;201804;Y;6;05-Sep;Apr
3;201801;Y;7;Oct-19;Jan
4;201804;Y;6;05-Sep;Apr
5;201801;Y;6;05-Sep;Jan
6;201801;Y;7;Oct-19;Jan
7;201802;Y;1;0-4;Feb
8;201801;Y;7;Oct-19;Jan
9;201803;Y;6;05-Sep;Mar
10;201802;Y;1;0-4;Feb
11;201803;Y;6;05-Sep;Mar
12;201801;Y;7;Oct-19;Jan
13;201803;Y;6;05-Sep;Mar
14;201801;Y;6;05-Sep;Jan
15;201804;Y;1;0-4;Apr
16;201803;Y;7;Oct-19;Mar
17;201804;Y;1;0-4;Apr
18;201802;Y;1;0-4;Feb
19;201804;Y;7;Oct-19;Apr
20;201803;Y;7;Oct-19;Mar
21;201802;Y;6;05-Sep;Feb
22;201801;Y;6;05-Sep;Jan
23;201804;Y;7;Oct-19;Apr
24;201803;Y;6;05-Sep;Mar
25;201803;Y;6;05-Sep;Mar
26;201804;Y;6;05-Sep;Apr
27;201803;Y;1;0-4;Mar
28;201801;Y;7;Oct-19;Jan
29;201801;Y;7;Oct-19;Jan
30;201804;Y;1;0-4;Apr
31;201801;Y;1;0-4;Jan
32;201802;Y;6;05-Sep;Feb
33;201802;Y;6;05-Sep;Feb
34;201804;Y;7;Oct-19;Apr
35;201804;Y;6;05-Sep;Apr
36;201803;Y;6;05-Sep;Mar
37;201802;Y;6;05-Sep;Feb
38;201803;Y;6;05-Sep;Mar
39;201802;Y;1;0-4;Feb
40;201804;Y;7;Oct-19;Apr
41;201802;Y;6;05-Sep;Feb
42;201803;Y;6;05-Sep;Mar
43;201801;Y;6;05-Sep;Jan
44;201801;Y;6;05-Sep;Jan
45;201802;Y;6;05-Sep;Feb
46;201804;Y;1;0-4;Apr
47;201803;Y;6;05-Sep;Mar
48;201803;Y;6;05-Sep;Mar
49;201802;Y;6;05-Sep;Feb
50;201804;Y;6;05-Sep;Apr
51;201803;Y;1;0-4;Mar
52;201802;Y;1;0-4;Feb
53;201801;Y;6;05-Sep;Jan
54;201803;Y;6;05-Sep;Mar
55;201801;Y;6;05-Sep;Jan
56;201804;Y;6;05-Sep;Apr
57;201803;Y;6;05-Sep;Mar
58;201804;Y;6;05-Sep;Apr
59;201802;Y;6;05-Sep;Feb
60;201802;Y;6;05-Sep;Feb
61;201801;Y;6;05-Sep;Jan
62;201802;Y;1;0-4;Feb
63;201804;Y;6;05-Sep;Apr
64;201804;Y;6;05-Sep;Apr
65;201801;Y;6;05-Sep;Jan
66;201804;Y;6;05-Sep;Apr
67;201804;Y;7;Oct-19;Apr
68;201801;Y;6;05-Sep;Jan
69;201803;Y;7;Oct-19;Mar
70;201801;Y;7;Oct-19;Jan
71;201801;Y;6;05-Sep;Jan
72;201804;Y;1;0-4;Apr
73;201801;Y;7;Oct-19;Jan
74;201803;Y;6;05-Sep;Mar
75;201801;Y;1;0-4;Jan
76;201803;Y;6;05-Sep;Mar
77;201801;Y;6;05-Sep;Jan
78;201801;Y;1;0-4;Jan
79;201801;Y;6;05-Sep;Jan
80;201801;Y;1;0-4;Jan
81;201804;Y;1;0-4;Apr
82;201801;Y;6;05-Sep;Jan
83;201804;Y;7;Oct-19;Apr
84;201802;Y;6;05-Sep;Feb
85;201802;Y;7;Oct-19;Feb
86;201801;Y;1;0-4;Jan
87;201804;Y;7;Oct-19;Apr
88;201804;Y;6;05-Sep;Apr
89;201803;Y;1;0-4;Mar
90;201804;Y;6;05-Sep;Apr
91;201803;Y;1;0-4;Mar
92;201801;Y;6;05-Sep;Jan
93;201801;Y;6;05-Sep;Jan
94;201801;Y;6;05-Sep;Jan
95;201801;Y;1;0-4;Jan
96;201802;Y;6;05-Sep;Feb
97;201803;Y;6;05-Sep;Mar
98;201801;Y;6;05-Sep;Jan
99;201801;Y;1;0-4;Jan
100;201804;Y;1;0-4;Apr
101;201801;Y;6;05-Sep;Jan
102;201803;Y;1;0-4;Mar
103;201802;Y;6;05-Sep;Feb
104;201801;Y;7;Oct-19;Jan
105;201804;Y;1;0-4;Apr
106;201802;Y;1;0-4;Feb
107;201801;Y;1;0-4;Jan
108;201801;Y;1;0-4;Jan
109;201804;Y;6;05-Sep;Apr
110;201801;Y;6;05-Sep;Jan
111;201802;Y;1;0-4;Feb
112;201803;Y;7;Oct-19;Mar
113;201803;Y;6;05-Sep;Mar
114;201804;Y;1;0-4;Apr
115;201803;Y;1;0-4;Mar
116;201804;Y;6;05-Sep;Apr
117;201804;Y;7;Oct-19;Apr
118;201803;Y;6;05-Sep;Mar
119;201801;Y;6;05-Sep;Jan
120;201804;Y;1;0-4;Apr
121;201804;Y;1;0-4;Apr
122;201802;Y;6;05-Sep;Feb
123;201801;Y;1;0-4;Jan
124;201804;Y;1;0-4;Apr
125;201803;Y;1;0-4;Mar
126;201803;Y;7;Oct-19;Mar
127;201804;Y;1;0-4;Apr
128;201801;Y;1;0-4;Jan
129;201802;Y;1;0-4;Feb
130;201801;Y;1;0-4;Jan
131;201804;Y;1;0-4;Apr
132;201801;Y;1;0-4;Jan
133;201804;Y;1;0-4;Apr
134;201803;Y;7;Oct-19;Mar
135;201804;Y;1;0-4;Apr
136;201802;Y;6;05-Sep;Feb
137;201803;Y;1;0-4;Mar
138;201804;Y;1;0-4;Apr
139;201804;Y;6;05-Sep;Apr
140;201804;Y;1;0-4;Apr
141;201804;Y;7;Oct-19;Apr
142;201804;Y;1;0-4;Apr
143;201803;Y;7;Oct-19;Mar
144;201803;Y;1;0-4;Mar
145;201801;Y;1;0-4;Jan
146;201803;Y;1;0-4;Mar
147;201803;Y;1;0-4;Mar
148;201804;Y;1;0-4;Apr
149;201804;Y;6;05-Sep;Apr
150;201803;Y;1;0-4;Mar
151;201803;Y;6;05-Sep;Mar
152;201803;Y;1;0-4;Mar
153;201804;Y;7;Oct-19;Apr
154;201803;Y;1;0-4;Mar
155;201803;Y;6;05-Sep;Mar
156;201802;Y;7;Oct-19;Feb
157;201802;Y;6;05-Sep;Feb
158;201804;Y;1;0-4;Apr
159;201802;Y;6;05-Sep;Feb
160;201804;Y;1;0-4;Apr
